row,col,cell_id,char
1,1,r01c01,琴
1,2,r01c02,清
1,3,r01c03,流
1,4,r01c04,楚
1,5,r01c05,激
1,6,r01c06,弦
1,7,r01c07,商
1,8,r01c08,秦
1,9,r01c09,曲
1,10,r01c10,發
1,11,r01c11,聲
1,12,r01c12,悲
1,13,r01c13,摧
1,14,r01c14,藏
1,15,r01c15,音
1,16,r01c16,和
1,17,r01c17,詠
1,18,r01c18,思
1,19,r01c19,惟
1,20,r01c20,空
1,21,r01c21,堂
1,22,r01c22,心
1,23,r01c23,憂
1,24,r01c24,增
1,25,r01c25,慕
1,26,r01c26,懷
1,27,r01c27,慘
1,28,r01c28,傷
1,29,r01c29,仁
2,1,r02c01,房
2,2,r02c02,廂
2,3,r02c03,東
2,4,r02c04,步
2,5,r02c05,階
2,6,r02c06,西
2,7,r02c07,遊
2,8,r02c08,王
2,9,r02c09,姿
2,10,r02c10,淑
2,11,r02c11,窈
2,12,r02c12,窕
2,13,r02c13,伯
2,14,r02c14,召
2,15,r02c15,南
2,16,r02c16,周
2,17,r02c17,風
2,18,r02c18,興
2,19,r02c19,自
2,20,r02c20,後
2,21,r02c21,妃
2,22,r02c22,荒
2,23,r02c23,經
2,24,r02c24,離
2,25,r02c25,所
2,26,r02c26,懷
2,27,r02c27,嘆
2,28,r02c28,嗟
2,29,r02c29,智
3,1,r03c01,蘭
3,2,r03c02,休
3,3,r03c03,桃
3,4,r03c04,林
3,5,r03c05,陰
3,6,r03c06,翳
3,7,r03c07,桑
3,8,r03c08,懷
3,9,r03c09,歸
3,10,r03c10,思
3,11,r03c11,廣
3,12,r03c12,河
3,13,r03c13,女
3,14,r03c14,衛
3,15,r03c15,鄭
3,16,r03c16,楚
3,17,r03c17,樊
3,18,r03c18,厲
3,19,r03c19,節
3,20,r03c20,中
3,21,r03c21,闈
3,22,r03c22,淫
3,23,r03c23,遐
3,24,r03c24,曠
3,25,r03c25,路
3,26,r03c26,傷
3,27,r03c27,中
3,28,r03c28,情
3,29,r03c29,懷
4,1,r04c01,凋
4,2,r04c02,翔
4,3,r04c03,飛
4,4,r04c04,燕
4,5,r04c05,巢
4,6,r04c06,雙
4,7,r04c07,鳩
4,8,r04c08,士
4,9,r04c09,迤
4,10,r04c10,逶
4,11,r04c11,路
4,12,r04c12,遐
4,13,r04c13,志
4,14,r04c14,詠
4,15,r04c15,歌
4,16,r04c16,長
4,17,r04c17,嘆
4,18,r04c18,不
4,19,r04c19,能
4,20,r04c20,奮
4,21,r04c21,飛
4,22,r04c22,忘
4,23,r04c23,清
4,24,r04c24,帷
4,25,r04c25,房
4,26,r04c26,君
4,27,r04c27,無
4,28,r04c28,家
4,29,r04c29,德
5,1,r05c01,茂
5,2,r05c02,流
5,3,r05c03,泉
5,4,r05c04,清
5,5,r05c05,水
5,6,r05c06,激
5,7,r05c07,揚
5,8,r05c08,思
5,9,r05c09,欣
5,10,r05c10,其
5,11,r05c11,人
5,12,r05c12,碩
5,13,r05c13,興
5,14,r05c14,齊
5,15,r05c15,商
5,16,r05c16,雙
5,17,r05c17,發
5,18,r05c18,歌
5,19,r05c19,我
5,20,r05c20,哀
5,21,r05c21,衣
5,22,r05c22,想
5,23,r05c23,華
5,24,r05c24,飾
5,25,r05c25,容
5,26,r05c26,朗
5,27,r05c27,鏡
5,28,r05c28,明
5,29,r05c29,聖
6,1,r06c01,熙
6,2,r06c02,長
6,3,r06c03,君
6,4,r06c04,思
6,5,r06c05,悲
6,6,r06c06,好
6,7,r06c07,仇
6,8,r06c08,舊
6,9,r06c09,蕤
6,10,r06c10,威
6,11,r06c11,璨
6,12,r06c12,翠
6,13,r06c13,榮
6,14,r06c14,曜
6,15,r06c15,流
6,16,r06c16,華
6,17,r06c17,觀
6,18,r06c18,冶
6,19,r06c19,容
6,20,r06c20,為
6,21,r06c21,推
6,22,r06c22,感
6,23,r06c23,英
6,24,r06c24,曜
6,25,r06c25,珠
6,26,r06c26,光
6,27,r06c27,粉
6,28,r06c28,葩
6,29,r06c29,虞
7,1,r07c01,陽
7,2,r07c02,愁
7,3,r07c03,嘆
7,4,r07c04,發
7,5,r07c05,容
7,6,r07c06,摧
7,7,r07c07,傷
7,8,r07c08,鄉
7,9,r07c09,悲
7,10,r07c10,情
7,11,r07c11,我
7,12,r07c12,感
7,13,r07c13,傷
7,14,r07c14,清
7,15,r07c15,徽
7,16,r07c16,宮
7,17,r07c17,羽
7,18,r07c18,同
7,19,r07c19,聲
7,20,r07c20,相
7,21,r07c21,追
7,22,r07c22,所
7,23,r07c23,多
7,24,r07c24,思
7,25,r07c25,感
7,26,r07c26,堆
7,27,r07c27,為
7,28,r07c28,榮
7,29,r07c29,唐
8,1,r08c01,春
8,2,r08c02,方
8,3,r08c03,殊
8,4,r08c04,離
8,5,r08c05,仁
8,6,r08c06,君
8,7,r08c07,榮
8,8,r08c08,身
8,9,r08c09,苦
8,10,r08c10,惟
8,11,r08c11,難
8,12,r08c12,生
8,13,r08c13,患
8,14,r08c14,多
8,15,r08c15,殷
8,16,r08c16,憂
8,17,r08c17,纏
8,18,r08c18,情
8,19,r08c19,將
8,20,r08c20,如
8,21,r08c21,何
8,22,r08c22,欽
8,23,r08c23,蒼
8,24,r08c24,穹
8,25,r08c25,誓
8,26,r08c26,終
8,27,r08c27,篤
8,28,r08c28,志
8,29,r08c29,真
9,1,r09c01,墻
9,2,r09c02,禽
9,3,r09c03,心
9,4,r09c04,濱
9,5,r09c05,均
9,6,r09c06,深
9,7,r09c07,身
9,8,r09c08,加
9,9,r09c09,懷
9,10,r09c10,幽
9,11,r09c11,是
9,12,r09c12,嬰
9,13,r09c13,藻
9,14,r09c14,文
9,15,r09c15,繁
9,16,r09c16,虎
9,17,r09c17,龍
9,18,r09c18,寧
9,19,r09c19,自
9,20,r09c20,感
9,21,r09c21,思
9,22,r09c22,岑
9,23,r09c23,形
9,24,r09c24,螢
9,25,r09c25,城
9,26,r09c26,榮
9,27,r09c27,明
9,28,r09c28,庭
9,29,r09c29,妙
10,1,r10c01,面
10,2,r10c02,伯
10,3,r10c03,改
10,4,r10c04,漢
10,5,r10c05,物
10,6,r10c06,日
10,7,r10c07,我
10,8,r10c08,兼
10,9,r10c09,思
10,10,r10c10,河
10,11,r10c11,漫
10,12,r10c12,漫
10,13,r10c13,榮
10,14,r10c14,曜
10,15,r10c15,華
10,16,r10c16,雕
10,17,r10c17,旌
10,18,r10c18,孜
10,19,r10c19,孜
10,20,r10c20,傷
10,21,r10c21,情
10,22,r10c22,幽
10,23,r10c23,未
10,24,r10c24,猶
10,25,r10c25,傾
10,26,r10c26,茍
10,27,r10c27,難
10,28,r10c28,闈
10,29,r10c29,顯
11,1,r11c01,殊
11,2,r11c02,在
11,3,r11c03,者
11,4,r11c04,之
11,5,r11c05,品
11,6,r11c06,潤
11,7,r11c07,乎
11,8,r11c08,愁
11,9,r11c09,苦
11,10,r11c10,艱
11,11,r11c11,是
11,12,r11c12,丁
11,13,r11c13,麗
11,14,r11c14,壯
11,15,r11c15,觀
11,16,r11c16,飾
11,17,r11c17,容
11,18,r11c18,側
11,19,r11c19,君
11,20,r11c20,在
11,21,r11c21,時
11,22,r11c22,巖
11,23,r11c23,在
11,24,r11c24,炎
11,25,r11c25,在
11,26,r11c26,不
11,27,r11c27,受
11,28,r11c28,亂
11,29,r11c29,華
12,1,r12c01,意
12,2,r12c02,域
12,3,r12c03,惑
12,4,r12c04,步
12,5,r12c05,育
12,6,r12c06,漫
12,7,r12c07,集
12,8,r12c08,悴
12,9,r12c09,我
12,10,r12c10,生
12,11,r12c11,何
12,12,r12c12,冤
12,13,r12c13,允
12,14,r12c14,顏
12,15,r12c15,曜
12,16,r12c16,繡
12,17,r12c17,衣
12,18,r12c18,夢
12,19,r12c19,想
12,20,r12c20,勞
12,21,r12c21,形
12,22,r12c22,峻
12,23,r12c23,慎
12,24,r12c24,盛
12,25,r12c25,戒
12,26,r12c26,義
12,27,r12c27,膚
12,28,r12c28,作
12,29,r12c29,重
13,1,r13c01,感
13,2,r13c02,故
13,3,r13c03,匿
13,4,r13c04,風
13,5,r13c05,施
13,6,r13c06,衍
13,7,r13c07,殃
13,8,r13c08,少
13,9,r13c09,章
13,10,r13c10,時
13,11,r13c11,桑
13,12,r13c12,詩
13,13,r13c13,端
13,14,r13c14,無
13,15,r13c15,始
13,16,r13c16,始
13,17,r13c17,詩
13,18,r13c18,仁
13,19,r13c19,顏
13,20,r13c20,貞
13,21,r13c21,棗
13,22,r13c22,嵯
13,23,r13c23,深
13,24,r13c24,興
13,25,r13c25,後
13,26,r13c26,姬
13,27,r13c27,原
13,28,r13c28,人
13,29,r13c29,容
14,1,r14c01,故
14,2,r14c02,遺
14,3,r14c03,親
14,4,r14c04,飄
14,5,r14c05,生
14,6,r14c06,思
14,7,r14c07,衍
14,8,r14c08,精
14,9,r14c09,崧
14,10,r14c10,盛
14,11,r14c11,翳
14,12,r14c12,風
14,13,r14c13,此
14,14,r14c14,平
14,15,r14c15,終
14,16,r14c16,璇
14,17,r14c17,情
14,18,r14c18,賢
14,19,r14c19,衰
14,20,r14c20,物
14,21,r14c21,歲
14,22,r14c22,峨
14,23,r14c23,慮
14,24,r14c24,漸
14,25,r14c25,孽
14,26,r14c26,班
14,27,r14c27,禍
14,28,r14c28,讒
14,29,r14c29,章
15,1,r15c01,新
15,2,r15c02,舊
15,3,r15c03,間
15,4,r15c04,離
15,5,r15c05,天
15,6,r15c06,罪
15,7,r15c07,辜
15,8,r15c08,神
15,9,r15c09,恨
15,10,r15c10,昭
15,11,r15c11,感
15,12,r15c12,興
15,13,r15c13,作
15,14,r15c14,蘇
15,15,r15c15,心
15,16,r15c16,璣
15,17,r15c17,明
15,18,r15c18,別
15,19,r15c19,改
15,20,r15c20,知
15,21,r15c21,識
15,22,r15c22,深
15,23,r15c23,微
15,24,r15c24,至
15,25,r15c25,嬖
15,26,r15c26,女
15,27,r15c27,因
15,28,r15c28,佞
15,29,r15c29,臣
16,1,r16c01,霜
16,2,r16c02,廢
16,3,r16c03,遠
16,4,r16c04,微
16,5,r16c05,地
16,6,r16c06,積
16,7,r16c07,何
16,8,r16c08,遐
16,9,r16c09,微
16,10,r16c10,業
16,11,r16c11,孟
16,12,r16c12,鹿
16,13,r16c13,麗
16,14,r16c14,氏
16,15,r16c15,詩
16,16,r16c16,國
16,17,r16c17,顯
16,18,r16c18,行
16,19,r16c19,華
16,20,r16c20,終
16,21,r16c21,調
16,22,r16c22,淵
16,23,r16c23,察
16,24,r16c24,大
16,25,r16c25,趙
16,26,r16c26,婕
16,27,r16c27,所
16,28,r16c28,奸
16,29,r16c29,賢
17,1,r17c01,冰
17,2,r17c02,故
17,3,r17c03,離
17,4,r17c04,隔
17,5,r17c05,德
17,6,r17c06,怨
17,7,r17c07,因
17,8,r17c08,幽
17,9,r17c09,玄
17,10,r17c10,傾
17,11,r17c11,宣
17,12,r17c12,鳴
17,13,r17c13,辭
17,14,r17c14,理
17,15,r17c15,興
17,16,r17c16,義
17,17,r17c17,怨
17,18,r17c18,士
17,19,r17c19,容
17,20,r17c20,柏
17,21,r17c21,松
17,22,r17c22,重
17,23,r17c23,遠
17,24,r17c24,伐
17,25,r17c25,氏
17,26,r17c26,妤
17,27,r17c27,詩
17,28,r17c28,兇
17,29,r17c29,為
18,1,r18c01,齊
18,2,r18c02,君
18,3,r18c03,殊
18,4,r18c04,喬
18,5,r18c05,貴
18,6,r18c06,其
18,7,r18c07,備
18,8,r18c08,遠
18,9,r18c09,悼
18,10,r18c10,思
18,11,r18c11,傷
18,12,r18c12,懷
18,13,r18c13,日
18,14,r18c14,往
18,15,r18c15,感
18,16,r18c16,年
18,17,r18c17,衰
18,18,r18c18,念
18,19,r18c19,是
18,20,r18c20,咎
18,21,r18c21,愆
18,22,r18c22,涯
18,23,r18c23,禍
18,24,r18c24,用
18,25,r18c25,飛
18,26,r18c26,辭
18,27,r18c27,恣
18,28,r18c28,害
18,29,r18c29,聖
19,1,r19c01,潔
19,2,r19c02,子
19,3,r19c03,我
19,4,r19c04,本
19,5,r19c05,乎
19,6,r19c06,根
19,7,r19c07,舊
19,8,r19c08,曠
19,9,r19c09,嘆
19,10,r19c10,永
19,11,r19c11,感
19,12,r19c12,悲
19,13,r19c13,思
19,14,r19c14,憂
19,15,r19c15,遠
19,16,r19c16,勞
19,17,r19c17,情
19,18,r19c18,誰
19,19,r19c19,為
19,20,r19c20,獨
19,21,r19c21,居
19,22,r19c22,經
19,23,r19c23,在
19,24,r19c24,昭
19,25,r19c25,燕
19,26,r19c26,輦
19,27,r19c27,極
19,28,r19c28,我
19,29,r19c29,配
20,1,r20c01,志
20,2,r20c02,惟
20,3,r20c03,同
20,4,r20c04,堆
20,5,r20c05,均
20,6,r20c06,難
20,7,r20c07,苦
20,8,r20c08,離
20,9,r20c09,戚
20,10,r20c10,戚
20,11,r20c11,情
20,12,r20c12,哀
20,13,r20c13,暮
20,14,r20c14,歲
20,15,r20c15,殊
20,16,r20c16,嘆
20,17,r20c17,時
20,18,r20c18,賤
20,19,r20c19,女
20,20,r20c20,懷
20,21,r20c21,嘆
20,22,r20c22,網
20,23,r20c23,防
20,24,r20c24,丹
20,25,r20c25,實
20,26,r20c26,漢
20,27,r20c27,驕
20,28,r20c28,終
20,29,r20c29,英
21,1,r21c01,清
21,2,r21c02,新
21,3,r21c03,衾
21,4,r21c04,陰
21,5,r21c05,勻
21,6,r21c06,尋
21,7,r21c07,辛
21,8,r21c08,風
21,9,r21c09,知
21,10,r21c10,我
21,11,r21c11,者
21,12,r21c12,誰
21,13,r21c13,世
21,14,r21c14,異
21,15,r21c15,浮
21,16,r21c16,奇
21,17,r21c17,傾
21,18,r21c18,鄙
21,19,r21c19,賤
21,20,r21c20,何
21,21,r21c21,如
21,22,r21c22,羅
21,23,r21c23,萌
21,24,r21c24,青
21,25,r21c25,生
21,26,r21c26,成
21,27,r21c27,盈
21,28,r21c28,貞
21,29,r21c29,皇
22,1,r22c01,純
22,2,r22c02,貞
22,3,r22c03,志
22,4,r22c04,一
22,5,r22c05,專
22,6,r22c06,所
22,7,r22c07,當
22,8,r22c08,麟
22,9,r22c09,沙
22,10,r22c10,流
22,11,r22c11,頻
22,12,r22c12,遊
22,13,r22c13,異
22,14,r22c14,浮
22,15,r22c15,沉
22,16,r22c16,華
22,17,r22c17,英
22,18,r22c18,翳
22,19,r22c19,曜
22,20,r22c20,潛
22,21,r22c21,陽
22,22,r22c22,林
22,23,r22c23,西
22,24,r22c24,昭
22,25,r22c25,景
22,26,r22c26,薄
22,27,r22c27,榆
22,28,r22c28,桑
22,29,r22c29,倫
23,1,r23c01,望
23,2,r23c02,薇
23,3,r23c03,碎
23,4,r23c04,感
23,5,r23c05,通
23,6,r23c06,明
23,7,r23c07,神
23,8,r23c08,龍
23,9,r23c09,馳
23,10,r23c10,若
23,11,r23c11,然
23,12,r23c12,倏
23,13,r23c13,逝
23,14,r23c14,惟
23,15,r23c15,時
23,16,r23c16,年
23,17,r23c17,殊
23,18,r23c18,白
23,19,r23c19,日
23,20,r23c20,西
23,21,r23c21,移
23,22,r23c22,光
23,23,r23c23,滋
23,24,r23c24,愚
23,25,r23c25,讒
23,26,r23c26,浸
23,27,r23c27,頑
23,28,r23c28,兇
23,29,r23c29,匹
24,1,r24c01,誰
24,2,r24c02,雲
24,3,r24c03,浮
24,4,r24c04,寄
24,5,r24c05,身
24,6,r24c06,輕
24,7,r24c07,飛
24,8,r24c08,昭
24,9,r24c09,虧
24,10,r24c10,不
24,11,r24c11,盈
24,12,r24c12,無
24,13,r24c13,倏
24,14,r24c14,必
24,15,r24c15,盛
24,16,r24c16,有
24,17,r24c17,衰
24,18,r24c18,無
24,19,r24c19,日
24,20,r24c20,不
24,21,r24c21,陂
24,22,r24c22,流
24,23,r24c23,蒙
24,24,r24c24,謙
24,25,r24c25,退
24,26,r24c26,休
24,27,r24c27,孝
24,28,r24c28,慈
24,29,r24c29,離
25,1,r25c01,思
25,2,r25c02,輝
25,3,r25c03,光
25,4,r25c04,飾
25,5,r25c05,璨
25,6,r25c06,殊
25,7,r25c07,文
25,8,r25c08,德
25,9,r25c09,離
25,10,r25c10,患
25,11,r25c11,體
25,12,r25c12,一
25,13,r25c13,違
25,14,r25c14,心
25,15,r25c15,意
25,16,r25c16,志
25,17,r25c17,殊
25,18,r25c18,憤
25,19,r25c19,激
25,20,r25c20,何
25,21,r25c21,施
25,22,r25c22,電
25,23,r25c23,疑
25,24,r25c24,危
25,25,r25c25,遠
25,26,r25c26,家
25,27,r25c27,和
25,28,r25c28,雍
25,29,r25c29,飄
26,1,r26c01,想
26,2,r26c02,群
26,3,r26c03,離
26,4,r26c04,散
26,5,r26c05,妾
26,6,r26c06,孤
26,7,r26c07,遺
26,8,r26c08,懷
26,9,r26c09,儀
26,10,r26c10,容
26,11,r26c11,仰
26,12,r26c12,俯
26,13,r26c13,榮
26,14,r26c14,華
26,15,r26c15,麗
26,16,r26c16,飭
26,17,r26c17,身
26,18,r26c18,將
26,19,r26c19,與
26,20,r26c20,誰
26,21,r26c21,為
26,22,r26c22,逝
26,23,r26c23,容
26,24,r26c24,節
26,25,r26c25,敦
26,26,r26c26,貞
26,27,r26c27,淑
26,28,r26c28,思
26,29,r26c29,浮
27,1,r27c01,懷
27,2,r27c02,悲
27,3,r27c03,哀
27,4,r27c04,聲
27,5,r27c05,殊
27,6,r27c06,乘
27,7,r27c07,分
27,8,r27c08,聖
27,9,r27c09,貲
27,10,r27c10,何
27,11,r27c11,情
27,12,r27c12,憂
27,13,r27c13,感
27,14,r27c14,惟
27,15,r27c15,哀
27,16,r27c16,忘
27,17,r27c17,節
27,18,r27c18,上
27,19,r27c19,通
27,20,r27c20,神
27,21,r27c21,只
27,22,r27c22,推
27,23,r27c23,持
27,24,r27c24,所
27,25,r27c25,貞
27,26,r27c26,記
27,27,r27c27,自
27,28,r27c28,恭
27,29,r27c29,江
28,1,r28c01,所
28,2,r28c02,春
28,3,r28c03,傷
28,4,r28c04,應
28,5,r28c05,翔
28,6,r28c06,惟
28,7,r28c07,歸
28,8,r28c08,皇
28,9,r28c09,辭
28,10,r28c10,成
28,11,r28c11,者
28,12,r28c12,作
28,13,r28c13,休
28,14,r28c14,下
28,15,r28c15,遺
28,16,r28c16,葑
28,17,r28c17,菲
28,18,r28c18,採
28,19,r28c19,者
28,20,r28c20,無
28,21,r28c21,差
28,22,r28c22,生
28,23,r28c23,從
28,24,r28c24,是
28,25,r28c25,敬
28,26,r28c26,孝
28,27,r28c27,為
28,28,r28c28,基
28,29,r28c29,湘
29,1,r29c01,親
29,2,r29c02,剛
29,3,r29c03,柔
29,4,r29c04,有
29,5,r29c05,女
29,6,r29c06,為
29,7,r29c07,賤
29,8,r29c08,人
29,9,r29c09,房
29,10,r29c10,憂
29,11,r29c11,處
29,12,r29c12,已
29,13,r29c13,憫
29,14,r29c14,薇
29,15,r29c15,身
29,16,r29c16,長
29,17,r29c17,路
29,18,r29c18,悲
29,19,r29c19,曠
29,20,r29c20,感
29,21,r29c21,士
29,22,r29c22,民
29,23,r29c23,梁
29,24,r29c24,山
29,25,r29c25,殊
29,26,r29c26,塞
29,27,r29c27,隔
29,28,r29c28,河
29,29,r29c29,津
